Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish

BillzPostersPaintingsPictures,blocks,Variant,,,"Posters/Paintings/Pictures",,,,,,,,,,,,,,
BillzPostersPaintingsPicturesDesc,blocks,Variant,,,"This allows you to create all the posters, paintings and pictures in the game. You can also pick up all posters/pictures/paintings in POIs.",,,,,,,,,,,,,,
BillzCrollUpDoor3x3Powered,blocks,Variant,,,"Roll Up Door 3x3 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor5x4Powered,blocks,Variant,,,"Roll Up Door 5x4 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor7x4Powered,blocks,Variant,,,"Roll Up Door 7x4 (Powered)",,,,,,,,,,,,,,
BillzexteriorHouseDoor,blocks,Variant,,,"Exterior House Door",,,,,,,,,,,,,,
BillzexteriorHouseDoorDouble,blocks,Variant,,,"Exterior House Door Double",,,,,,,,,,,,,,
BillzexteriorHouseDoorSideLightSingle,blocks,Variant,,,"Exterior House Door Side Light Single",,,,,,,,,,,,,,
BillzexteriorHouseDoorSideLight,blocks,Variant,,,"Exterior House Door Side Light",,,,,,,,,,,,,,
BillzexteriorHouseDoorOld,blocks,Variant,,,"Exterior House Door Old",,,,,,,,,,,,,,
BillzexteriorHouseDoorDoubleOld,blocks,Variant,,,"Exterior House Door Double Old",,,,,,,,,,,,,,
BillzexteriorScreenDoor,blocks,Variant,,,"Exterior Screen Door",,,,,,,,,,,,,,
BillzhouseSlidingDoor,blocks,Variant,,,"House Sliding Door",,,,,,,,,,,,,,
BillzfrenchDoor,blocks,Variant,,,"French Door",,,,,,,,,,,,,,
BillzfrenchDoorDouble,blocks,Variant,,,"French Door Double",,,,,,,,,,,,,,
BillzinteriorHouseDoor,blocks,Variant,,,"Interior House Door",,,,,,,,,,,,,,
BillzinteriorHouseDoorDouble,blocks,Variant,,,"Interior House Door Double",,,,,,,,,,,,,,
BillzinteriorDoorOld,blocks,Variant,,,"Interior Door Old",,,,,,,,,,,,,,
BillzinteriorDoorOldDouble,blocks,Variant,,,"Interior Door Old Double",,,,,,,,,,,,,,
BillztallCabinetDoor,blocks,Variant,,,"Tall Cabinet Door",,,,,,,,,,,,,,
BillzclosetDoor,blocks,Variant,,,"Closet Door",,,,,,,,,,,,,,
BillzclosetDoorDouble,blocks,Variant,,,"Closet Door Double",,,,,,,,,,,,,,
BillzpantryDoor,blocks,Variant,,,"Pantry Door",,,,,,,,,,,,,,
BillzcntArmoireDoors,blocks,Variant,,,"Armoire Doors",,,,,,,,,,,,,,
BillzportaPottyDoor,blocks,Variant,,,"Porta Potty Door",,,,,,,,,,,,,,
BillzjailDoor,blocks,Variant,,,"Jail Door",,,,,,,,,,,,,,
BillzjailDoorDouble,blocks,Variant,,,"Jail Door Double",,,,,,,,,,,,,,
BillzjailDoorFallen,blocks,Variant,,,"Jail Door Fallen",,,,,,,,,,,,,,
BillzjailDoorDoubleFallen,blocks,Variant,,,"Jail Door Double Fallen",,,,,,,,,,,,,,
BillzjailBars,blocks,Variant,,,"Jail Bars",,,,,,,,,,,,,,
BillzchainlinkFenceDoor,blocks,Variant,,,"Chainlink Fence Door",,,,,,,,,,,,,,
BillzcommercialDoorV1,blocks,Variant,,,"Commercial Door V1",,,,,,,,,,,,,,
BillzcommercialDoorDoubleV1,blocks,Variant,,,"Commercial Door Double V1",,,,,,,,,,,,,,
BillzcommercialDoorV2,blocks,Variant,,,"Commercial Door V2",,,,,,,,,,,,,,
BillzcommercialDoorDoubleV2,blocks,Variant,,,"Commercial Door Double V2",,,,,,,,,,,,,,
BillzcommercialDoorV3,blocks,Variant,,,"Commercial Door V3",,,,,,,,,,,,,,
BillzcommercialDoorDoubleV3,blocks,Variant,,,"Commercial Door Double V3",,,,,,,,,,,,,,
BillzcommercialDoorV4,blocks,Variant,,,"Commercial Door V4",,,,,,,,,,,,,,
BillzcommercialDoorDoubleV4,blocks,Variant,,,"Commercial Door Double V4",,,,,,,,,,,,,,
BillzcommercialGlassDoor,blocks,Variant,,,"Commercial Glass Door",,,,,,,,,,,,,,
BillzcommercialBulletproofGlassDoor,blocks,Variant,,,"Commercial Bulletproof Glass Door",,,,,,,,,,,,,,

BillzCrollUpDoor3x3_PoweredWhite,blocks,Variant,,,"White Roll Up Door 3x3 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor3x3_PoweredBrown,blocks,Variant,,,"Brown Roll Up Door 3x3 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor3x3_PoweredRed,blocks,Variant,,,"Red Roll Up Door 3x3 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor3x3_PoweredOrange,blocks,Variant,,,"Orange Roll Up Door 3x3 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor3x3_PoweredYellow,blocks,Variant,,,"Yellow Roll Up Door 3x3 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor3x3_PoweredGreen,blocks,Variant,,,"Green Roll Up Door 3x3 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor3x3_PoweredBlue,blocks,Variant,,,"Blue Roll Up Door 3x3 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor3x3_PoweredPurple,blocks,Variant,,,"Purple Roll Up Door 3x3 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor3x3_PoweredGrey,blocks,Variant,,,"Grey Roll Up Door 3x3 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor3x3_PoweredBlack,blocks,Variant,,,"Black Roll Up Door 3x3 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor3x3_PoweredPink,blocks,Variant,,,"Pink Roll Up Door 3x3 (Powered)",,,,,,,,,,,,,,

BillzCrollUpDoor5x4_PoweredWhite,blocks,Variant,,,"White Roll Up Door 5x4 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor5x4_PoweredBrown,blocks,Variant,,,"Brown Roll Up Door 5x4 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor5x4_PoweredRed,blocks,Variant,,,"Red Roll Up Door 5x4 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor5x4_PoweredOrange,blocks,Variant,,,"Orange Roll Up Door 5x4 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor5x4_PoweredYellow,blocks,Variant,,,"Yellow Roll Up Door 5x4 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor5x4_PoweredGreen,blocks,Variant,,,"Green Roll Up Door 5x4 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor5x4_PoweredBlue,blocks,Variant,,,"Blue Roll Up Door 5x4 (Powered)",,,,,,,,,,,,,,
BillzCrollUpDoor5x4_PoweredPurple,blocks,Variant,,,"Purple Roll Up Door 5x4 (Powered)",,,,,,,,,,,,,,
